timestamp,window_id,instant_prediction,stable_state,probability_normal,probability_warning,probability_critical,vibration_rms,vibration_peak,dominant_frequency,optical_displacement,optical_velocity,optical_acceleration,optical_dominant_frequency,vibration_optical_correlation,cross_correlation_max,cross_correlation_lag,state_duration,ground_truth_scenario,is_transition_window,candidate_state,candidate_count,feature_extraction_latency_ms,preprocessing_latency_ms,model_inference_latency_ms,temporal_decision_latency_ms,total_latency_ms
14.9900,10,NORMAL,NORMAL,0.9982,0.0018,0.0000,0.3298,6.6987,5.4000,0.5560,13.6244,507.6154,5.0000,-0.1670,0.3043,-0.0700,14.9900,NORMAL,False,,0,5.1911,1.3364,0.6581,0.0024,8.6076
15.9900,11,NORMAL,NORMAL,0.9954,0.0046,0.0000,0.3298,6.6991,5.0000,0.5912,13.6244,507.6154,5.0000,-0.1201,0.2578,-0.0700,15.9900,NORMAL,False,,0,7.0574,1.7842,0.7619,0.0051,11.5966
16.9900,12,NORMAL,NORMAL,0.9621,0.0379,0.0000,0.3298,6.6985,5.0000,0.6322,18.5123,438.2211,5.0000,-0.1006,0.2644,-0.0700,16.9900,NORMAL,False,,0,7.4836,2.2178,1.0341,0.0054,13.1003
17.9900,13,NORMAL,NORMAL,0.9964,0.0036,0.0000,0.3400,6.7901,5.4000,0.5320,16.2494,609.5424,5.0000,-0.2747,-0.2747,0.0000,17.9900,NORMAL,False,,0,6.6459,1.8603,0.7172,0.0047,11.5643
18.9900,14,NORMAL,NORMAL,0.9863,0.0137,0.0000,0.3414,6.7904,5.4000,0.5390,16.2494,609.5424,5.0000,-0.2959,-0.2959,0.0000,18.9900,NORMAL,False,,0,5.2106,1.4059,0.6064,0.0035,8.6178
19.9900,15,NORMAL,NORMAL,0.9742,0.0258,0.0000,0.3414,6.7909,5.2000,0.5272,16.2494,609.5424,5.0000,-0.2846,-0.2846,0.0000,19.9900,NORMAL,False,,0,6.6159,1.3900,0.6107,0.0040,10.1744
20.9900,16,NORMAL,NORMAL,0.8913,0.1087,0.0000,0.3465,6.7914,5.0000,0.5309,16.2494,609.5424,5.0000,-0.3287,-0.3287,0.0000,20.9900,NORMAL,True,,0,5.7163,2.1145,1.1572,0.0059,11.1894
21.9900,17,WARNING,NORMAL,0.0558,0.9441,0.0000,0.3486,6.7903,4.4000,0.5262,21.7850,501.9396,4.4000,-0.3383,-0.3383,0.0000,21.9900,NORMAL,True,WARNING,1,11.9661,1.5067,0.6308,0.0126,15.9111
22.9900,18,WARNING,NORMAL,0.0001,0.9996,0.0003,1.0246,15.2409,4.4000,4.4326,111.9978,3616.2497,4.4000,-0.7172,-0.7172,0.0000,22.9900,WARNING,True,WARNING,2,4.4762,1.7293,0.8342,0.0094,8.7616
23.9900,19,WARNING,WARNING,0.0001,0.9994,0.0005,1.0593,15.2426,4.4000,4.4583,111.9978,3616.2497,4.4000,-0.7377,-0.7377,0.0000,0.0000,WARNING,True,,0,5.7267,1.4471,1.0751,0.0207,10.0895
24.9900,20,WARNING,WARNING,0.0000,0.9990,0.0010,1.0675,15.2374,4.4000,4.4935,111.9978,3616.2497,4.4000,-0.7428,-0.7428,0.0000,1.0000,WARNING,False,,0,7.3262,2.7043,1.5106,0.0111,13.7797
25.9900,21,WARNING,WARNING,0.0000,0.9983,0.0017,1.0673,15.2370,4.4000,4.4372,111.9978,3616.2497,4.2000,-0.7406,-0.7406,0.0000,2.0000,WARNING,False,,0,6.2075,1.6652,0.7453,0.0054,11.0828
26.9900,22,WARNING,WARNING,0.0007,0.9977,0.0016,1.0683,15.2364,4.2000,4.3912,139.9273,3189.9732,4.2000,-0.7421,-0.7421,0.0000,3.0000,WARNING,False,,0,5.7746,1.4676,0.6285,0.0045,9.6622
27.9900,23,WARNING,WARNING,0.0000,0.9994,0.0005,1.0905,14.9688,4.4000,4.4758,111.9969,3583.6645,4.4000,-0.7541,-0.7541,0.0000,4.0000,WARNING,False,,0,6.0068,1.7198,1.3149,0.0102,10.8967
28.9900,24,WARNING,WARNING,0.0000,0.9992,0.0008,1.0932,14.9688,4.4000,4.4812,111.9969,3583.6645,4.4000,-0.7547,-0.7547,0.0000,5.0000,WARNING,False,,0,5.7584,1.6712,0.6946,0.0037,11.1474
29.9900,25,WARNING,WARNING,0.0000,0.9986,0.0014,1.0905,14.9680,4.4000,4.5186,111.9969,3583.6645,4.4000,-0.7492,-0.7492,0.0000,6.0000,WARNING,False,,0,6.9297,1.6662,0.6428,0.0045,11.0850
30.9900,26,WARNING,WARNING,0.0000,0.9983,0.0017,1.0903,14.9687,4.4000,4.5120,111.9969,3583.6645,4.4000,-0.7484,-0.7484,0.0000,7.0000,WARNING,False,,0,9.1097,1.6429,0.6972,0.0046,13.3450
31.9900,27,WARNING,WARNING,0.0013,0.9976,0.0012,1.0900,14.9706,4.4000,4.4813,139.0201,3121.7024,4.4000,-0.7459,-0.7459,0.0000,8.0000,WARNING,False,,0,7.1706,2.1403,0.8317,0.0061,12.3965
32.9900,28,WARNING,WARNING,0.0001,0.9996,0.0004,1.0567,15.1149,4.4000,4.5445,107.5443,3509.8745,4.4000,-0.7134,-0.7134,0.0000,9.0000,WARNING,False,,0,8.7556,2.1311,0.7577,0.0052,13.8802
33.9900,29,WARNING,WARNING,0.0000,0.9994,0.0006,1.0628,15.1156,4.4000,4.5185,107.5443,3509.8745,4.4000,-0.7203,-0.7203,0.0000,10.0000,WARNING,False,,0,5.5902,2.1466,0.6506,0.0040,10.0930
34.9900,30,WARNING,WARNING,0.0000,0.9990,0.0010,1.0670,15.1149,4.4000,4.5053,107.5443,3509.8745,4.4000,-0.7255,-0.7255,0.0000,11.0000,WARNING,False,,0,5.6337,1.7974,0.6762,0.0054,9.7918
35.9900,31,WARNING,WARNING,0.0000,0.9982,0.0018,1.0671,15.1136,4.4000,4.5119,107.5443,3509.8745,4.2000,-0.7258,-0.7258,0.0000,12.0000,WARNING,False,,0,5.7404,1.7258,0.6755,0.0041,10.1214
36.9900,32,WARNING,WARNING,0.0021,0.9968,0.0011,1.0665,15.1142,4.4000,4.5365,135.2974,3014.0533,4.4000,-0.7265,-0.7265,0.0000,13.0000,WARNING,False,,0,5.3744,1.3844,0.6229,0.0058,8.9216
37.9900,33,WARNING,WARNING,0.0000,0.9994,0.0006,1.0719,15.1430,4.4000,4.4753,110.2628,3517.0552,4.2000,-0.7378,-0.7378,0.0000,14.0000,WARNING,False,,0,5.8831,1.4490,0.6703,0.0051,9.7679
38.9900,34,WARNING,WARNING,0.0000,0.9992,0.0008,1.0597,15.1423,4.4000,4.4746,110.2628,3517.0552,4.2000,-0.7309,-0.7309,0.0000,15.0000,WARNING,False,,0,7.1140,1.6178,0.6837,0.0047,11.4351
39.9900,35,WARNING,WARNING,0.0000,0.9986,0.0013,1.0577,15.1423,4.4000,4.4538,110.2628,3517.0552,4.2000,-0.7330,-0.7330,0.0000,16.0000,WARNING,False,,0,5.1999,1.3497,0.6072,0.0028,8.7671
40.9900,36,WARNING,WARNING,0.0000,0.9981,0.0019,1.0664,15.1460,4.4000,4.4590,110.2628,3517.0552,4.2000,-0.7336,-0.7336,0.0000,17.0000,WARNING,True,,0,5.0020,1.3306,0.6495,0.0028,8.6334
41.9900,37,WARNING,WARNING,0.0005,0.9969,0.0026,1.0929,15.1450,4.2000,4.5214,135.9703,3070.0331,4.2000,-0.7363,-0.7363,0.0000,18.0000,WARNING,True,,0,4.8358,1.3036,0.8937,0.0042,8.4539
42.9900,38,CRITICAL,WARNING,0.0000,0.0000,1.0000,3.1830,26.6552,3.6000,22.0901,461.0928,10868.6797,3.6000,-0.9257,-0.9257,0.0000,19.0000,CRITICAL,True,CRITICAL,1,6.6344,1.9171,0.7718,0.0101,12.6756
43.9900,39,CRITICAL,WARNING,0.0000,0.0000,1.0000,3.8983,26.5920,3.6000,22.2733,461.0928,10868.6797,3.6000,-0.9510,-0.9510,0.0000,20.0000,CRITICAL,True,CRITICAL,2,7.5946,1.6237,0.7210,0.0101,11.8668
44.9900,40,CRITICAL,CRITICAL,0.0000,0.0000,1.0000,4.3650,26.5750,3.4000,22.3697,461.0928,10868.6797,3.4000,-0.9610,-0.9610,0.0000,0.0000,CRITICAL,False,,0,8.2545,2.6343,0.9040,0.0167,15.2434
45.9900,41,CRITICAL,CRITICAL,0.0000,0.0000,1.0000,4.3651,26.5746,3.4000,22.4206,461.0928,10868.6797,3.4000,-0.9609,-0.9609,0.0000,1.0000,CRITICAL,False,,0,8.2534,1.7978,0.7604,0.0059,12.8349
46.9900,42,CRITICAL,CRITICAL,0.0000,0.0000,1.0000,4.3605,26.5712,3.4000,22.4410,518.9909,10110.2721,3.4000,-0.9608,-0.9608,0.0000,2.0000,CRITICAL,False,,0,8.0884,1.8650,0.7779,0.0058,13.5397
47.9900,43,CRITICAL,CRITICAL,0.0000,0.0000,1.0000,4.5225,24.8190,3.4000,23.7464,494.7045,11232.7508,3.4000,-0.9636,-0.9636,0.0000,3.0000,CRITICAL,False,,0,6.6964,1.6923,0.7545,0.0055,11.1647
48.9900,44,CRITICAL,CRITICAL,0.0000,0.0000,1.0000,4.6203,24.7984,3.4000,23.6901,494.7045,11232.7508,3.4000,-0.9652,-0.9652,0.0000,4.0000,CRITICAL,False,,0,5.9145,1.7798,0.6722,0.0069,10.2901
49.9900,45,CRITICAL,CRITICAL,0.0000,0.0000,1.0000,4.6460,24.8179,3.4000,23.8063,494.7045,11232.7508,3.4000,-0.9656,-0.9656,0.0000,5.0000,CRITICAL,False,,0,5.3994,1.4666,0.6622,0.0047,9.1238
50.9900,46,CRITICAL,CRITICAL,0.0000,0.0000,1.0000,4.6457,24.8160,3.4000,23.7809,494.7045,13350.3383,3.4000,-0.9656,-0.9656,0.0000,6.0000,CRITICAL,False,,0,6.0860,1.5514,0.6793,0.0054,10.0467
51.9900,47,CRITICAL,CRITICAL,0.0000,0.0000,1.0000,4.6447,24.8218,3.4000,23.8043,527.5585,13350.3383,3.4000,-0.9656,-0.9656,0.0000,7.0000,CRITICAL,False,,0,6.9846,1.8255,0.7355,0.0049,11.1680
52.9900,48,CRITICAL,CRITICAL,0.0000,0.0000,1.0000,4.4322,23.9968,3.4000,21.9764,452.7578,13350.3383,3.4000,-0.9624,-0.9624,0.0000,8.0000,CRITICAL,False,,0,5.2180,1.6226,0.7330,0.0040,9.4115
53.9900,49,CRITICAL,CRITICAL,0.0000,0.0000,1.0000,4.3521,23.9867,3.4000,21.9372,452.7578,13350.3383,3.4000,-0.9610,-0.9610,0.0000,9.0000,CRITICAL,False,,0,7.5331,2.1704,0.8339,0.0055,12.3992
54.9900,50,CRITICAL,CRITICAL,0.0000,0.0000,1.0000,4.2643,24.0132,3.4000,21.8275,452.7578,10917.5246,3.4000,-0.9593,-0.9593,0.0000,10.0000,CRITICAL,False,,0,9.0922,2.0255,0.8219,0.0052,15.0545
55.9900,51,CRITICAL,CRITICAL,0.0000,0.0000,1.0000,4.2644,24.0120,3.4000,21.6949,452.7578,13287.7260,3.4000,-0.9594,-0.9594,0.0000,11.0000,CRITICAL,False,,0,7.0823,1.7440,0.7460,0.0048,11.5710
56.9900,52,CRITICAL,CRITICAL,0.0000,0.0000,1.0000,4.2660,24.0106,3.4000,21.5951,500.2846,13287.7260,3.4000,-0.9598,-0.9598,0.0000,12.0000,CRITICAL,False,,0,8.0630,1.8860,0.7480,0.0047,12.9502
57.9900,53,CRITICAL,CRITICAL,0.0000,0.0000,1.0000,4.2852,24.5350,3.4000,22.4041,467.4732,13287.7260,3.4000,-0.9590,-0.9590,0.0000,13.0000,CRITICAL,False,,0,6.5892,1.8076,0.7139,0.0048,11.1995
58.9900,54,CRITICAL,CRITICAL,0.0000,0.0000,1.0000,4.2280,24.5661,3.4000,22.3694,467.4732,13287.7260,3.4000,-0.9577,-0.9577,0.0000,14.0000,CRITICAL,False,,0,6.7948,2.5200,1.1687,0.0076,12.8666
59.9900,55,CRITICAL,CRITICAL,0.0000,0.0000,1.0000,4.1153,24.5344,3.4000,22.5628,467.4732,10712.2827,3.4000,-0.9547,-0.9547,0.0000,15.0000,CRITICAL,False,,0,9.1896,1.6820,1.4558,0.0066,14.2462
60.9900,56,CRITICAL,CRITICAL,0.0000,0.0000,1.0000,4.1133,24.5362,3.4000,22.6335,467.4732,10712.2827,3.4000,-0.9548,-0.9548,0.0000,16.0000,CRITICAL,True,,0,5.8345,1.5858,0.6686,0.0058,9.9980
61.9900,57,CRITICAL,CRITICAL,0.0000,0.0000,1.0000,4.1107,24.5359,3.4000,22.6617,504.9805,10059.3485,3.4000,-0.9548,-0.9548,0.0000,17.0000,CRITICAL,True,,0,7.0125,1.5524,0.6808,0.0055,11.0453
62.9900,58,CRITICAL,CRITICAL,0.0000,0.0000,1.0000,2.8730,14.9057,3.4000,17.1236,366.1439,8032.3936,3.4000,-0.9623,-0.9623,0.0000,18.0000,WARNING,True,,0,5.2770,1.4242,0.6323,0.0039,8.9006
63.9900,59,CRITICAL,CRITICAL,0.0000,0.1217,0.8783,1.8733,14.9680,4.4000,13.0903,264.7407,8032.3936,4.4000,-0.9095,-0.9095,0.0000,19.0000,WARNING,True,,0,5.3901,1.4837,0.6289,0.0039,9.2701
64.9900,60,WARNING,CRITICAL,0.0000,0.9989,0.0011,1.0591,14.9715,4.4000,4.5814,110.8035,3582.7630,4.4000,-0.7299,-0.7299,0.0000,20.0000,WARNING,False,WARNING,1,5.0909,1.8863,0.9202,0.0107,9.9468
65.9900,61,WARNING,CRITICAL,0.0000,0.9986,0.0014,1.0582,14.9710,4.4000,4.6469,110.8035,3582.7630,4.4000,-0.7199,-0.7199,0.0000,21.0000,WARNING,False,WARNING,2,5.6632,1.5376,1.3433,0.0068,10.0994
66.9900,62,WARNING,WARNING,0.0021,0.9969,0.0010,1.0597,14.9725,4.4000,4.7286,137.2109,3080.3191,4.4000,-0.7153,-0.7153,0.0000,0.0000,WARNING,False,,0,7.7943,1.7267,0.7658,0.0183,12.3777
67.9900,63,WARNING,WARNING,0.0000,0.9996,0.0003,1.0565,15.0331,4.4000,3.9709,103.6360,3458.7646,4.4000,-0.7298,-0.7298,0.0000,1.0000,WARNING,False,,0,7.3931,1.8388,0.6130,0.0049,12.4424
68.9900,64,WARNING,WARNING,0.0000,0.9991,0.0009,1.0622,15.0307,4.4000,3.9911,103.6360,3458.7646,4.0000,-0.7348,-0.7348,0.0000,2.0000,WARNING,False,,0,5.1606,2.0070,0.9625,0.0064,10.0278
69.9900,65,WARNING,WARNING,0.0000,0.9989,0.0011,1.0565,15.0313,4.4000,3.9524,103.6360,3458.7646,4.2000,-0.7285,-0.7285,0.0000,3.0000,WARNING,False,,0,5.7431,2.6420,2.5980,0.0104,13.2712
70.9900,66,WARNING,WARNING,0.0000,0.9989,0.0011,1.0555,15.0316,4.4000,3.9860,103.6360,3458.7646,4.4000,-0.7326,-0.7326,0.0000,4.0000,WARNING,False,,0,7.9046,1.6760,0.7431,0.0057,12.3240
71.9900,67,WARNING,WARNING,0.0073,0.9920,0.0006,1.0545,15.0307,4.4000,4.0507,131.0505,2866.7421,4.4000,-0.7380,-0.7380,0.0000,5.0000,WARNING,False,,0,5.8953,1.8137,0.6903,0.0046,10.2191
72.9900,68,WARNING,WARNING,0.0001,0.9996,0.0003,1.0455,14.5428,4.4000,4.2811,108.0481,3396.6051,4.4000,-0.7294,-0.7294,0.0000,6.0000,WARNING,False,,0,5.9914,2.3061,1.1001,0.0047,11.3868
73.9900,69,WARNING,WARNING,0.0001,0.9995,0.0005,1.0375,14.5438,4.4000,4.2642,108.0481,3396.6051,4.4000,-0.7251,-0.7251,0.0000,7.0000,WARNING,False,,0,7.7119,2.7586,0.7614,0.0054,13.0645
74.9900,70,WARNING,WARNING,0.0000,0.9988,0.0012,1.0400,14.5437,4.4000,4.2845,108.0481,3396.6051,4.2000,-0.7265,-0.7265,0.0000,8.0000,WARNING,False,,0,5.7077,1.3452,0.6387,0.0045,9.2472
75.9900,71,WARNING,WARNING,0.0000,0.9988,0.0012,1.0411,14.5431,4.4000,4.2563,108.0481,3396.6051,4.4000,-0.7286,-0.7286,0.0000,9.0000,WARNING,False,,0,5.7672,1.6447,0.7010,0.0055,9.9973
76.9900,72,WARNING,WARNING,0.0014,0.9976,0.0010,1.0406,14.5430,4.4000,4.2448,128.7987,2874.3807,4.4000,-0.7291,-0.7291,0.0000,10.0000,WARNING,False,,0,5.8051,1.7958,0.6139,0.0045,9.8601
77.9900,73,WARNING,WARNING,0.0001,0.9996,0.0003,1.0320,14.7657,4.4000,4.3151,104.8637,3477.3227,4.4000,-0.7179,-0.7179,0.0000,11.0000,WARNING,False,,0,5.1970,1.4089,0.6277,0.0050,8.8314
78.9900,74,WARNING,WARNING,0.0001,0.9995,0.0005,1.0299,14.7647,4.4000,4.3463,104.8637,3477.3227,4.4000,-0.7143,-0.7143,0.0000,12.0000,WARNING,False,,0,6.6150,1.7575,0.6760,0.0056,11.2191
79.9900,75,WARNING,WARNING,0.0000,0.9992,0.0008,1.0301,14.7639,4.4000,4.4006,104.8637,3477.3227,4.4000,-0.7083,-0.7083,0.0000,13.0000,WARNING,False,,0,5.4785,1.3651,0.6269,0.0032,9.1004
80.9900,76,WARNING,WARNING,0.0000,0.9990,0.0010,1.0285,14.7629,4.4000,4.4270,104.8637,3477.3227,4.4000,-0.7076,-0.7076,0.0000,14.0000,WARNING,True,,0,6.3914,1.4587,0.6580,0.0040,10.2121
81.9900,77,WARNING,WARNING,0.0004,0.9982,0.0014,1.0276,14.7619,4.4000,4.4670,133.6869,2900.4257,4.4000,-0.7070,-0.7070,0.0000,15.0000,WARNING,True,,0,5.4374,1.6533,0.8760,0.0070,10.3301
82.9900,78,WARNING,WARNING,0.0011,0.9988,0.0000,0.4477,6.6961,4.4000,1.8362,45.9156,1206.0432,4.4000,-0.6757,-0.6757,0.0000,16.0000,NORMAL,True,,0,6.6885,5.4616,1.4594,0.0081,15.9271
83.9900,79,NORMAL,WARNING,0.6530,0.3470,0.0000,0.3601,6.6963,5.2000,0.7168,17.2748,687.8269,4.6000,-0.4106,-0.4106,0.0000,17.0000,NORMAL,True,NORMAL,1,6.6406,2.3914,1.7156,0.0152,13.1557
84.9900,80,NORMAL,WARNING,0.9942,0.0058,0.0000,0.3343,6.7023,5.2000,0.5363,14.8722,529.6545,5.0000,-0.2368,0.2785,-0.0800,18.0000,NORMAL,False,NORMAL,2,8.4092,4.1780,1.1125,0.0088,16.6716
85.9900,81,NORMAL,NORMAL,0.9917,0.0083,0.0000,0.3343,6.7017,5.2000,0.5290,14.8722,529.6545,5.0000,-0.2459,0.2980,-0.0800,0.0000,NORMAL,False,,0,7.3381,2.3467,0.8416,0.2290,13.3313
86.9900,82,NORMAL,NORMAL,0.8992,0.1008,0.0000,0.3343,6.7023,5.2000,0.5228,19.8221,499.1024,5.2000,-0.2420,0.3027,-0.0800,1.0000,NORMAL,False,,0,10.0287,2.9583,0.9461,0.0053,16.6551
87.9900,83,NORMAL,NORMAL,0.9989,0.0011,0.0000,0.3338,6.6910,5.2000,0.4934,14.5896,606.2463,5.2000,-0.2694,0.2917,-0.0700,2.0000,NORMAL,False,,0,7.0093,2.7037,1.0355,0.0056,12.9188
88.9900,84,NORMAL,NORMAL,0.9967,0.0033,0.0000,0.3343,6.6919,5.2000,0.4912,14.5896,606.2463,5.2000,-0.2769,0.2935,-0.0700,3.0000,NORMAL,False,,0,6.3075,1.8668,0.7498,0.0052,11.1006
89.9900,85,NORMAL,NORMAL,0.9931,0.0069,0.0000,0.3344,6.6923,5.2000,0.4860,14.5896,606.2463,5.0000,-0.2813,0.2918,-0.0800,4.0000,NORMAL,False,,0,9.1243,2.0489,0.9817,0.0055,14.1262
90.9900,86,NORMAL,NORMAL,0.9642,0.0358,0.0000,0.3342,6.6926,5.0000,0.4863,14.5896,606.2463,5.0000,-0.2506,-0.2544,0.0100,5.0000,NORMAL,False,,0,8.4972,1.5948,1.1129,0.0051,13.1641
91.9900,87,NORMAL,NORMAL,0.8998,0.1002,0.0000,0.3341,6.6914,5.2000,0.5139,21.6684,528.3290,5.0000,-0.2541,-0.2549,-0.1700,6.0000,NORMAL,False,,0,5.8222,2.1416,1.0727,0.0057,10.8432
92.9900,88,WARNING,NORMAL,0.0005,0.9991,0.0005,0.3346,6.6720,5.2000,0.5788,15.4787,584.6894,0.6000,-0.2284,0.2857,-0.0700,7.0000,NORMAL,False,WARNING,1,7.1299,1.4189,0.6209,0.0052,10.7808
93.9900,89,NORMAL,NORMAL,0.9897,0.0103,0.0000,0.3335,6.6724,5.2000,0.5828,15.4787,584.6894,4.8000,-0.2088,0.2761,-0.0700,8.0000,NORMAL,False,,0,6.3784,1.6216,0.6730,0.0034,10.4756
94.9900,90,NORMAL,NORMAL,0.9901,0.0099,0.0000,0.3333,6.6721,5.2000,0.6008,15.4787,584.6894,4.8000,-0.1834,0.2594,-0.0700,9.0000,NORMAL,False,,0,5.2711,2.3450,0.9174,0.0046,10.1931
95.9900,91,NORMAL,NORMAL,0.9792,0.0208,0.0000,0.3333,6.6722,5.0000,0.6036,15.4787,584.6894,4.8000,-0.1862,0.2654,-0.0700,10.0000,NORMAL,False,,0,7.1870,2.3647,1.4242,0.0046,13.9305
96.9900,92,WARNING,NORMAL,0.0000,0.9969,0.0031,0.3334,6.6733,5.0000,0.6053,21.1228,520.6577,0.6000,-0.1882,0.2672,-0.0700,11.0000,NORMAL,False,WARNING,1,6.9212,1.5053,0.6349,0.0061,10.8621
97.9900,93,WARNING,NORMAL,0.0004,0.9991,0.0005,0.3320,6.6915,5.0000,0.5657,14.1697,552.8406,0.6000,-0.1783,0.2576,-0.0700,12.0000,NORMAL,False,WARNING,2,5.9498,2.0054,0.7319,0.0066,11.7960
98.9900,94,NORMAL,NORMAL,0.9972,0.0028,0.0000,0.3317,6.6914,5.2000,0.5617,14.1697,552.8406,5.0000,-0.1796,0.2598,-0.0700,13.0000,NORMAL,False,,0,5.5945,2.0002,0.8354,0.0049,10.0862
99.9900,95,NORMAL,NORMAL,0.9960,0.0040,0.0000,0.3318,6.6910,5.2000,0.5598,14.1697,552.8406,5.0000,-0.1874,0.2650,-0.0700,14.0000,NORMAL,False,,0,5.9296,1.3702,0.6526,0.0033,9.5281
