event_id,random_seed,sim_natural_frequency,sim_amplitude,sim_damping_ratio,sim_impact_strength,sim_noise_level,sim_optical_noise,sim_sampling_rate,sim_duration,vibration_mean,vibration_std,vibration_rms,vibration_variance,vibration_peak,vibration_peak_to_peak,vibration_crest_factor,vibration_kurtosis,vibration_skewness,vibration_zero_crossing_rate,vibration_energy,dominant_frequency,dominant_frequency_amplitude,spectral_energy,spectral_centroid,spectral_bandwidth,spectral_peak_count,optical_displacement_max,optical_displacement_rms,optical_displacement_mean,optical_displacement_std,optical_velocity_max,optical_velocity_rms,optical_acceleration_max,optical_acceleration_rms,optical_dominant_frequency,optical_frequency_amplitude,optical_rotation_max,optical_rotation_rms,vibration_optical_correlation,cross_correlation_max,cross_correlation_lag_seconds,scenario
normal_00011,1130604997,4.674292,0.374756,0.053050,1.741215,0.047106,0.020292,100.000000,10.000000,0.000000,0.372903,0.372903,0.139057,10.861972,11.403194,29.128140,732.292899,25.870238,0.292292,139.056673,4.800000,0.076247,0.666781,21.741153,13.550724,2.000000,0.674991,0.121970,0.097598,0.073152,15.627878,2.426539,529.224861,79.438696,4.700000,0.077065,0.067500,0.014091,-0.058856,0.203951,-0.060000,NORMAL
normal_00012,2095133045,5.196761,0.714891,0.048145,0.900146,0.064517,0.017427,100.000000,10.000000,0.000000,0.224295,0.224295,0.050308,6.059780,6.610732,27.017011,538.627000,20.353139,0.185185,50.308245,5.300000,0.050059,0.059170,20.965731,13.609928,27.000000,0.499720,0.121680,0.098918,0.070862,13.777152,2.775221,560.247779,95.899675,5.100000,0.050630,0.042500,0.013321,-0.241796,0.288923,0.090000,NORMAL
normal_00013,1580016183,4.848213,0.788024,0.063273,0.781931,0.049425,0.016251,100.000000,10.000000,0.000000,0.182356,0.182356,0.033254,4.934595,5.522816,27.060235,542.908091,20.471334,0.247247,33.253698,4.900000,0.051755,0.127689,21.569855,13.476968,25.000000,0.587737,0.122333,0.100884,0.069195,16.049034,2.320621,508.281315,76.577539,4.800000,0.058091,0.047500,0.012053,-0.232545,-0.247975,0.010000,NORMAL
normal_00014,1634535062,4.697196,0.630289,0.047666,1.646730,0.031891,0.016870,100.000000,10.000000,0.000000,0.363897,0.363897,0.132421,10.247590,11.066243,28.160683,638.278356,23.245832,0.247247,132.421071,4.800000,0.110988,0.478738,21.522855,13.537342,1.000000,1.082975,0.171519,0.121825,0.120737,25.958077,3.893483,887.212163,119.570492,4.800000,0.112018,0.092500,0.016174,-0.202280,0.281743,-0.080000,NORMAL
normal_00015,1540770719,4.812722,0.893439,0.045513,1.766132,0.034901,0.017093,100.000000,10.000000,0.000000,0.417977,0.417977,0.174704,11.042309,12.345637,26.418487,492.548880,18.968305,0.209209,174.704438,4.800000,0.120990,0.135880,20.721563,13.657538,2.000000,1.469724,0.246360,0.159648,0.187631,38.507915,6.280094,1322.505690,192.848115,4.800000,0.138967,0.117500,0.020717,-0.344316,0.385025,0.100000,NORMAL
normal_00016,1688060240,5.262673,0.942642,0.051129,0.935318,0.029222,0.017384,100.000000,10.000000,-0.000000,0.247845,0.247845,0.061427,6.474522,7.388912,26.123315,470.909003,18.283815,0.206206,61.426942,5.300000,0.109294,0.267195,21.339112,13.459077,2.000000,0.950724,0.149110,0.108480,0.102303,23.300329,3.497952,895.013764,120.825339,5.300000,0.101155,0.075000,0.014960,-0.324370,0.347761,-0.080000,NORMAL
normal_00017,1102145672,5.267587,0.838450,0.069510,1.087113,0.039573,0.010109,100.000000,10.000000,0.000000,0.269166,0.269166,0.072450,7.422255,8.316626,27.574990,585.062220,21.605560,0.208208,72.450444,5.300000,0.069359,0.095909,21.368679,13.476495,10.000000,0.810294,0.114778,0.080630,0.081687,22.048373,2.970355,885.060329,102.057454,5.300000,0.062013,0.072500,0.010398,-0.260860,-0.306359,0.010000,NORMAL
normal_00018,275121930,4.877464,0.411849,0.055520,1.769483,0.031125,0.012814,100.000000,10.000000,0.000000,0.392601,0.392601,0.154135,11.416470,12.061064,29.079086,726.961985,25.705106,0.298298,154.135337,4.900000,0.036244,0.107713,21.614504,13.559118,20.000000,0.623012,0.132823,0.107613,0.077854,18.310025,2.624481,664.306456,84.641810,4.800000,0.041993,0.050000,0.011950,-0.069210,0.163012,-0.060000,NORMAL
normal_00019,1803345590,4.821649,0.859913,0.048842,1.042311,0.051266,0.018208,100.000000,10.000000,0.000000,0.266713,0.266713,0.071136,6.751310,7.545735,25.313015,416.579356,16.841540,0.233233,71.135830,4.800000,0.116082,0.120511,20.533980,13.631999,5.000000,0.837120,0.180664,0.134188,0.120967,23.257897,4.395863,832.890472,137.331650,4.800000,0.131187,0.077500,0.017067,-0.436421,-0.436421,0.000000,NORMAL
normal_00020,967196436,4.963127,0.777827,0.074280,0.798787,0.046619,0.019394,100.000000,10.000000,-0.000000,0.184899,0.184899,0.034188,5.089475,5.672917,27.525684,580.925554,21.526074,0.234234,34.187682,4.900000,0.036375,0.039629,21.274442,13.537823,34.000000,0.534707,0.116739,0.097419,0.064324,14.823283,2.256734,574.491453,77.546551,4.900000,0.045581,0.050000,0.013448,-0.209744,-0.242732,0.010000,NORMAL
normal_00021,1074497555,5.349019,0.764883,0.062066,0.863415,0.040184,0.019665,100.000000,10.000000,0.000000,0.228156,0.228156,0.052055,6.206341,6.873892,27.202127,554.724970,20.844442,0.234234,52.055365,5.500000,0.080299,0.131227,21.487879,13.527089,12.000000,0.675106,0.103601,0.076207,0.070182,18.143520,2.631695,720.463923,93.918157,5.500000,0.061780,0.052500,0.013177,-0.293948,0.347722,-0.070000,NORMAL
normal_00022,796282693,5.126269,0.441235,0.066669,0.987899,0.046269,0.019751,100.000000,10.000000,-0.000000,0.230409,0.230409,0.053088,6.667194,7.100671,28.936362,711.374534,25.221558,0.290290,53.088240,5.300000,0.048553,0.267572,21.812988,13.518343,7.000000,0.414685,0.109321,0.094519,0.054930,11.026746,1.682888,405.812615,62.998134,5.100000,0.039292,0.047500,0.012680,-0.047840,0.145049,-0.050000,NORMAL
normal_00023,392022359,4.946536,0.853678,0.056186,1.712491,0.040140,0.018993,100.000000,10.000000,0.000000,0.407386,0.407386,0.165963,11.123216,12.375156,27.303875,562.575584,21.009574,0.196196,165.963352,5.000000,0.127828,0.616431,21.450855,13.520447,1.000000,1.226299,0.197309,0.122904,0.154355,35.166879,5.097666,1272.547011,164.827230,5.000000,0.126962,0.105000,0.018794,-0.337465,-0.358171,0.010000,NORMAL
normal_00024,1990212658,5.184842,0.775684,0.055807,0.791516,0.027690,0.020535,100.000000,10.000000,0.000000,0.200304,0.200304,0.040122,5.489843,6.135912,27.407562,571.544264,21.275229,0.284284,40.121675,5.300000,0.075215,0.197678,21.589900,13.512962,2.000000,0.644268,0.116721,0.094070,0.069100,16.370625,2.298324,641.401411,82.091970,5.300000,0.062800,0.057500,0.014360,-0.227361,0.276907,-0.080000,NORMAL
normal_00025,1678403330,5.168770,0.513979,0.072893,1.623726,0.061745,0.021884,100.000000,10.000000,0.000000,0.393132,0.393132,0.154553,11.290259,12.179758,28.718740,691.352715,24.728576,0.282282,154.552849,5.500000,0.084568,0.616585,21.650197,13.533992,5.000000,0.854602,0.138430,0.107599,0.087095,21.552929,2.938598,874.873119,102.958969,5.100000,0.061742,0.067500,0.015425,-0.173474,0.264583,-0.070000,NORMAL
normal_00026,1382689815,5.206348,0.449262,0.074708,0.608096,0.054628,0.021971,100.000000,10.000000,0.000000,0.148104,0.148104,0.021935,4.235922,4.523437,28.600943,679.789581,24.416203,0.246246,21.934877,5.500000,0.034044,0.106508,21.748267,13.516430,18.000000,0.425951,0.117858,0.104743,0.054032,7.594763,1.213191,293.589564,51.708212,5.100000,0.030175,0.067500,0.014401,-0.030072,0.123391,-0.060000,NORMAL
normal_00027,864178266,4.964942,0.933920,0.060415,1.169930,0.059891,0.014929,100.000000,10.000000,0.000000,0.297624,0.297624,0.088580,7.716048,8.751664,25.925528,457.022939,17.895464,0.206206,88.579775,5.400000,0.124958,0.322052,21.186532,13.536363,4.000000,1.068231,0.175536,0.119818,0.128283,29.618696,4.512424,1068.731270,146.738623,4.900000,0.122695,0.080000,0.016049,-0.426950,-0.440322,0.010000,NORMAL
normal_00028,1766867109,4.736506,0.808182,0.070661,1.081461,0.030351,0.013749,100.000000,10.000000,0.000000,0.239504,0.239504,0.057362,6.646219,7.390259,27.749956,600.447542,22.066651,0.343343,57.362062,5.100000,0.066002,0.212638,21.494625,13.495799,9.000000,0.802301,0.117099,0.081764,0.083826,20.413025,2.749887,726.646038,88.497815,4.600000,0.063844,0.060000,0.011069,-0.224911,0.293337,-0.070000,NORMAL
normal_00029,1171300112,5.279706,0.753831,0.066419,0.672095,0.029394,0.017173,100.000000,10.000000,0.000000,0.171159,0.171159,0.029295,4.714453,5.218863,27.544260,583.216208,21.639820,0.306306,29.295468,5.200000,0.035670,0.015577,21.202742,13.655440,50.000000,0.535573,0.104156,0.089855,0.052672,12.723213,1.810218,490.384011,66.971113,5.200000,0.036274,0.057500,0.012240,-0.152774,0.224110,-0.070000,NORMAL
normal_00030,952224740,4.752357,0.742769,0.054199,0.742321,0.037338,0.019486,100.000000,10.000000,0.000000,0.168627,0.168627,0.028435,4.647312,5.142837,27.559761,584.443320,21.678699,0.283283,28.434971,4.900000,0.056368,0.125979,21.443942,13.493883,10.000000,0.499191,0.118570,0.101964,0.060515,13.814643,2.045785,472.771652,71.594470,4.800000,0.061365,0.052500,0.012791,-0.191836,-0.216221,0.010000,NORMAL
normal_00031,967354524,5.290888,0.483537,0.072070,1.632390,0.037524,0.013347,100.000000,10.000000,0.000000,0.392071,0.392071,0.153720,11.411728,12.161903,29.106281,729.258170,25.738317,0.295295,153.719650,5.600000,0.044703,0.150278,21.737585,13.521517,25.000000,0.696842,0.125524,0.101939,0.073243,17.858222,2.308340,728.528015,81.777811,5.200000,0.035886,0.060000,0.012452,-0.058099,0.199530,-0.050000,NORMAL
normal_00032,487991438,5.220051,0.489374,0.063263,0.815075,0.041816,0.014793,100.000000,10.000000,0.000000,0.199561,0.199561,0.039825,5.637724,6.092204,28.250639,646.093846,23.454290,0.312312,39.824565,5.300000,0.047622,0.138999,21.708445,13.561402,27.000000,0.485198,0.094695,0.079357,0.051669,11.704114,1.781583,444.843944,63.128625,5.200000,0.040945,0.055000,0.010333,-0.135118,0.214235,-0.070000,NORMAL
normal_00033,197860368,5.270748,0.949012,0.052383,1.147362,0.063438,0.013640,100.000000,10.000000,0.000000,0.311816,0.311816,0.097229,8.002569,9.073385,25.664434,438.972012,17.402318,0.173173,97.228932,5.500000,0.125821,0.267172,21.074267,13.556695,12.000000,1.014279,0.158775,0.105566,0.118597,28.559009,4.493846,1099.924536,151.373219,5.400000,0.106498,0.077500,0.014460,-0.439627,-0.439627,0.000000,NORMAL
normal_00034,1190961760,4.666247,0.798066,0.070449,0.660617,0.032661,0.011927,100.000000,10.000000,0.000000,0.145432,0.145432,0.021151,3.972267,4.417791,27.313546,562.981804,21.036864,0.266266,21.150503,4.600000,0.037986,0.035644,21.455650,13.555544,29.000000,0.614283,0.111485,0.092691,0.061946,13.140871,1.875688,429.122451,59.334811,4.600000,0.048708,0.050000,0.011054,-0.148056,0.242051,-0.080000,NORMAL
normal_00035,1906728918,5.248290,0.598625,0.061236,0.640677,0.051742,0.021880,100.000000,10.000000,0.000000,0.166114,0.166114,0.027594,4.486038,4.913539,27.005738,538.816812,20.426875,0.215215,27.593948,5.500000,0.054167,0.091270,21.416944,13.598885,16.000000,0.503749,0.127189,0.108517,0.066341,11.037112,2.014975,472.521247,75.051634,5.500000,0.039610,0.060000,0.014804,-0.173695,0.222728,-0.080000,NORMAL
normal_00036,137046513,5.092001,0.616448,0.047322,0.951254,0.051244,0.021592,100.000000,10.000000,-0.000000,0.232843,0.232843,0.054216,6.404483,7.056205,27.505582,579.916688,21.563418,0.183183,54.215882,4.900000,0.053800,0.049397,20.982247,13.606013,12.000000,0.585659,0.119402,0.095821,0.071240,16.954111,2.748182,625.674741,94.729494,4.900000,0.061936,0.055000,0.013623,-0.292095,-0.316502,0.010000,NORMAL
normal_00037,1843166518,4.806233,0.884031,0.073177,1.280029,0.048797,0.014293,100.000000,10.000000,-0.000000,0.288164,0.288164,0.083039,7.976001,8.895691,27.678673,593.619277,21.826492,0.242242,83.038560,4.800000,0.059129,0.139365,21.419547,13.535962,23.000000,0.984417,0.140432,0.094423,0.103949,25.047364,3.471455,987.560276,112.222380,4.800000,0.077284,0.077500,0.013015,-0.236029,-0.297611,0.010000,NORMAL
normal_00038,1777324407,4.923392,0.701906,0.071198,1.122180,0.058047,0.010948,100.000000,10.000000,0.000000,0.257335,0.257335,0.066221,7.266350,7.895233,28.236928,644.858561,23.406020,0.261261,66.221313,5.100000,0.061114,0.271605,21.707690,13.511778,13.000000,0.639385,0.113383,0.085202,0.074808,18.375609,2.459794,651.189896,80.041354,4.700000,0.061406,0.057500,0.011106,-0.201212,-0.223038,0.010000,NORMAL
normal_00039,594336917,4.998158,0.433483,0.066134,1.665806,0.062437,0.015078,100.000000,10.000000,0.000000,0.377692,0.377692,0.142651,11.013032,11.679027,29.158743,734.970639,25.913136,0.267267,142.651458,5.500000,0.075468,0.617304,21.797421,13.519545,4.000000,0.578368,0.095188,0.071933,0.062341,16.880007,2.210504,611.703642,74.742265,5.100000,0.051244,0.060000,0.010544,-0.116596,0.249959,-0.060000,NORMAL
normal_00040,1356488967,5.089607,0.537179,0.051220,1.132892,0.052088,0.016714,100.000000,10.000000,-0.000000,0.268656,0.268656,0.072176,7.694436,8.203421,28.640496,684.077342,24.559820,0.228228,72.175946,5.100000,0.039336,0.039976,21.216043,13.620240,32.000000,0.538759,0.122956,0.099229,0.072606,13.563020,2.108479,502.425695,74.075640,5.100000,0.038598,0.040000,0.013102,-0.167754,-0.187635,0.010000,NORMAL
normal_00041,354826746,5.199082,0.430548,0.053367,1.365716,0.052103,0.010276,100.000000,10.000000,0.000000,0.327819,0.327819,0.107466,9.480904,10.046705,28.921116,711.297424,25.292366,0.200200,107.465580,5.300000,0.085212,0.372168,21.698554,13.562975,2.000000,0.547397,0.120145,0.100464,0.065892,14.479129,2.190319,541.500722,75.092602,5.200000,0.067695,0.045000,0.010506,-0.091597,0.196289,-0.070000,NORMAL
normal_00042,1627981024,5.184746,0.921386,0.067776,1.787491,0.027511,0.010842,100.000000,10.000000,0.000000,0.443414,0.443414,0.196616,12.113000,13.717788,27.317601,562.955316,20.905285,0.311311,196.615747,5.300000,0.130272,0.807107,21.611955,13.466520,1.000000,1.503454,0.187973,0.100796,0.158663,41.384241,5.278273,1546.855644,176.027455,5.200000,0.113843,0.112500,0.016184,-0.321914,-0.344099,0.010000,NORMAL
normal_00043,1504361614,4.763779,0.482077,0.047083,1.067257,0.028850,0.016075,100.000000,10.000000,-0.000000,0.238903,0.238903,0.057074,6.851242,7.289444,28.677964,688.272569,24.700422,0.263263,57.074489,4.900000,0.070092,0.226729,21.650024,13.560322,1.000000,0.484061,0.129786,0.115764,0.058679,12.101308,1.968778,446.240547,64.978308,4.900000,0.058698,0.045000,0.012707,-0.118135,0.166731,-0.080000,NORMAL
normal_00044,761338718,4.825930,0.937641,0.049098,1.373875,0.032740,0.017101,100.000000,10.000000,0.000000,0.337138,0.337138,0.113662,8.787648,9.941229,26.065467,467.108251,18.219036,0.245245,113.661742,4.800000,0.115052,0.119686,20.869470,13.649355,2.000000,1.268378,0.191748,0.110976,0.156370,33.543824,5.193547,1197.305829,161.275453,4.800000,0.128932,0.110000,0.017728,-0.434342,-0.434342,0.000000,NORMAL
normal_00045,145857092,4.722689,0.562138,0.064270,1.231773,0.064311,0.016408,100.000000,10.000000,-0.000000,0.274571,0.274571,0.075389,7.801374,8.315221,28.412940,662.496620,23.971799,0.275275,75.389316,4.900000,0.075283,0.337375,21.698078,13.526798,5.000000,0.619286,0.110609,0.085183,0.070556,15.896607,2.454906,549.884741,78.430647,4.800000,0.072332,0.060000,0.012313,-0.170353,0.237294,-0.080000,NORMAL
normal_00046,2084558133,5.120452,0.734958,0.054539,1.096739,0.031407,0.014300,100.000000,10.000000,0.000000,0.269061,0.269061,0.072394,7.405977,8.221541,27.525283,581.958926,21.622085,0.321321,72.393757,5.200000,0.079290,0.231837,21.537044,13.514606,3.000000,0.733594,0.118868,0.084765,0.083334,22.036111,3.017599,762.885544,100.639401,5.000000,0.080174,0.062500,0.011804,-0.290559,-0.320402,0.010000,NORMAL
normal_00047,957106589,5.267384,0.837505,0.057868,0.557924,0.037907,0.015181,100.000000,10.000000,-0.000000,0.145730,0.145730,0.021237,3.863163,4.348075,26.509105,499.448436,19.170079,0.212212,21.237133,5.600000,0.049491,0.093841,21.364282,13.464460,13.000000,0.479173,0.088871,0.072678,0.051146,12.052544,1.918642,495.455500,68.823965,5.000000,0.044593,0.062500,0.011016,-0.272756,0.318988,0.090000,NORMAL
normal_00048,1917963002,4.720272,0.653593,0.071333,0.869459,0.031929,0.013347,100.000000,10.000000,-0.000000,0.191754,0.191754,0.036769,5.421303,5.876496,28.272236,649.148023,23.575176,0.344344,36.769447,4.900000,0.048039,0.106621,21.650087,13.554458,16.000000,0.591066,0.102078,0.081497,0.061466,12.985875,1.836375,460.760234,60.276164,4.800000,0.044865,0.050000,0.010773,-0.118219,0.228580,-0.070000,NORMAL
normal_00049,1455819991,4.950042,0.570565,0.072417,0.685354,0.062700,0.020553,100.000000,10.000000,-0.000000,0.162316,0.162316,0.026346,4.531875,4.800617,27.920162,617.723988,22.768857,0.277277,26.346323,5.100000,0.046529,0.089222,21.617445,13.525937,29.000000,0.297282,0.108683,0.094283,0.054061,6.844365,1.536908,267.803436,58.943232,5.100000,0.035772,0.042500,0.013339,-0.170600,-0.170600,0.000000,NORMAL
normal_00050,1671565830,4.967000,0.705988,0.068392,1.684573,0.033185,0.019105,100.000000,10.000000,0.000000,0.396045,0.396045,0.156852,11.175189,12.256883,28.216955,642.746491,23.295545,0.317317,156.851775,5.000000,0.071776,0.256742,21.601501,13.520599,2.000000,1.017066,0.166078,0.117345,0.117525,28.970654,3.936626,1112.270341,129.628489,5.000000,0.073042,0.107500,0.017154,-0.254168,0.272178,-0.070000,NORMAL
normal_00051,1631871623,4.910490,0.565402,0.071988,1.660752,0.064520,0.021193,100.000000,10.000000,0.000000,0.379871,0.379871,0.144302,10.941863,11.706489,28.804144,699.335129,24.934122,0.201201,144.302072,5.000000,0.070379,0.304209,21.676660,13.523319,12.000000,0.738090,0.130661,0.099174,0.085070,21.360952,2.968095,804.393181,100.094418,5.000000,0.057200,0.082500,0.014668,-0.210234,0.247216,-0.070000,NORMAL
normal_00052,417983441,5.132989,0.862349,0.065161,1.685635,0.029213,0.016129,100.000000,10.000000,0.000000,0.411870,0.411870,0.169637,11.327056,12.734887,27.501541,578.898041,21.429949,0.294294,169.636793,5.200000,0.130577,0.794176,21.597592,13.421561,1.000000,1.299801,0.179499,0.111085,0.140996,36.873006,4.816821,1349.279178,160.745246,5.100000,0.127068,0.105000,0.016493,-0.293905,-0.325756,0.010000,NORMAL
normal_00053,781482251,4.959528,0.756714,0.063881,0.771374,0.034018,0.011035,100.000000,10.000000,0.000000,0.181771,0.181771,0.033041,5.063963,5.580333,27.859045,609.563764,22.345972,0.314314,33.040645,4.900000,0.034735,0.067340,21.887888,13.615764,62.000000,0.495837,0.121526,0.103545,0.063617,13.115633,1.849375,481.236504,62.215734,4.900000,0.044025,0.047500,0.011084,-0.162191,-0.183348,0.010000,NORMAL
normal_00054,1002275723,4.683758,0.383427,0.064368,1.420033,0.043889,0.015665,100.000000,10.000000,0.000000,0.306445,0.306445,0.093909,8.923408,9.392140,29.119098,731.368809,25.841477,0.244244,93.908668,4.700000,0.040701,0.095228,21.677331,13.599268,8.000000,0.591797,0.108455,0.090596,0.059622,13.510364,2.011583,475.481389,65.735777,4.700000,0.044498,0.057500,0.011645,-0.071654,0.226672,-0.070000,NORMAL
normal_00055,1068999196,4.703529,0.670304,0.046734,1.081393,0.043135,0.015799,100.000000,10.000000,-0.000000,0.244993,0.244993,0.060021,6.797985,7.375305,27.747714,601.719383,22.243142,0.274274,60.021388,4.700000,0.059989,0.055198,21.189470,13.640744,20.000000,0.771049,0.126718,0.092388,0.086729,18.543356,2.803985,631.767844,88.339845,4.700000,0.070399,0.067500,0.012950,-0.224558,0.299570,-0.080000,NORMAL
normal_00056,94067870,5.176153,0.602450,0.058660,1.589811,0.047399,0.021366,100.000000,10.000000,0.000000,0.386210,0.386210,0.149158,10.955199,11.950483,28.365931,656.545700,23.705481,0.268268,149.157971,5.000000,0.061030,0.186541,21.615074,13.554991,16.000000,0.855693,0.137061,0.096585,0.097247,24.731606,3.496542,961.760136,119.630815,5.000000,0.069285,0.075000,0.015138,-0.242842,0.294858,-0.070000,NORMAL
normal_00057,1173749071,5.124321,0.861190,0.061840,0.552752,0.030334,0.021328,100.000000,10.000000,0.000000,0.141236,0.141236,0.019948,3.672462,4.133513,26.002323,462.416922,18.117664,0.295295,19.947587,5.400000,0.045088,0.066234,21.292243,13.489030,33.000000,0.409091,0.120784,0.109132,0.051759,11.094887,1.893062,458.757161,71.300964,5.100000,0.044040,0.045000,0.014266,-0.197470,-0.227560,0.010000,NORMAL
normal_00058,331334160,5.018922,0.458055,0.049771,1.308256,0.030130,0.011036,100.000000,10.000000,0.000000,0.301881,0.301881,0.091132,8.682219,9.258514,28.760410,694.551685,24.791153,0.342342,91.132089,5.300000,0.055675,0.221024,21.646538,13.570621,4.000000,0.545312,0.099740,0.076428,0.064085,15.991595,2.364260,576.633608,77.448720,4.900000,0.057100,0.042500,0.010330,-0.152432,-0.213610,-0.170000,NORMAL
normal_00059,1596387604,5.339542,0.840268,0.051690,1.613407,0.042157,0.015319,100.000000,10.000000,-0.000000,0.411943,0.411943,0.169697,10.980201,12.459344,26.654631,509.700497,19.399527,0.216216,169.697404,5.400000,0.132049,0.339437,21.178954,13.530145,2.000000,1.315521,0.191493,0.119489,0.149639,37.318578,5.476065,1469.904405,186.588402,5.300000,0.123204,0.102500,0.016881,-0.310203,0.397549,0.090000,NORMAL
normal_00060,1466836456,4.860275,0.545433,0.045830,0.873964,0.038005,0.016453,100.000000,10.000000,0.000000,0.202251,0.202251,0.040905,5.674506,6.066998,28.056788,630.042070,23.091984,0.274274,40.905359,4.900000,0.052969,0.099582,21.415130,13.554712,5.000000,0.444521,0.116924,0.101220,0.058529,12.068393,2.023200,443.664994,67.864900,4.900000,0.052309,0.037500,0.011658,-0.190138,-0.195582,0.010000,NORMAL
